,Company site,Traded on,Revenue,Operating income,Net income,Total assets,Total equity
453,https://www.valero.com,NYSE,US$117.033 billion,US$4.572 billion,US$4.156  billion,US$50.158 billion,US$21.667 billion
454,http://naspers.com,JSE,US$22.1 billion,US$3.7 billion,lion,US$36.3 billion,US$29.93 billion
455,https://bookingholdings.com,Nasdaq,US$17.09 billion,US$5.102 billion,US$3.058 billion,US$25.36 billion,US$2.782 billion
456,https://www.equifax.com,NYSE,US$5.12 billion,US$1.06 billion,llion,US$11.6 billion,US$3.96 billion
457,https://www.viatris.com,Nasdaq,US$17.89 billion,,US$−1.27 billion,US$54.84 billion,US$20.49 billion
458,https://frontier.com,Nasdaq,US$7.155 billion,US$0.959 billion,US$−0.402 billion,US$16.795 billion,US$−4.900 billion
459,https://www.globe.com,PSE,₱151.51 billion,,₱23.72 billion,₱458.5 billion,
460,http://www.ameren.com,NYSE,US$5.794 Billion,US$1.300 Billion,US$0.871 Billion,US$32.030 Billion,US$9.080 Billion
461,http://vimeo.com,Nasdaq,US$433 million,US$−83 million,US$−80 million,US$605 million,US$354 million
462,https://www.vinci.com,Euronext Paris,€49.396 billion,€4.723 billion,€2.597 billion,€100.022 billion,€24.771 billion
463,https://www.illumina.com,Nasdaq,US$4.58 billion,US$−4.2 billion,US$−4.4 billion,US$12.3 billion,US$6.60 billion
464,https://www.illumina.com,Nasdaq,US$4.58 billion,US$−4.2 billion,US$−4.4 billion,US$12.3 billion,US$6.60 billion
465,https://www.boc.cn/Bank of China,SSE,¥503.81 billion,¥227.53 billion,¥192.44 billion,¥21.267 trillion,¥1.613 trillion
466,http://wesco.com,NYSE,US$8.177 billion,US$353 million,US$225 million,US$4.605 billion,US$2.130 billion
468,http://xero.com,ASX,NZ$1.097 billion,NZ$41.97 million,NZ$-9.11 million,NZ$2.34 billion,NZ$1.03 billion
469,http://ginkgobioworks.com,NYSE,US$478 million,US$−2.2 billion,US$−2.1 billion,US$2.54 billion,US$1.74 billion
470,https://www.jacobsdouweegberts.com,Euronext Amsterdam,€7.0 billion,€1.1 billion,€762 million,€21.6 billion,€11.2 billion
471,http://www.onemedical.com,Nasdaq,US$1.05 billion,US$−420 million,US$−398 million,US$2.43 billion,US$1.54 billion
472,https://www.grainger.com,NYSE,US$13.02 billion,US$1.54 billion,US$1.1 billion,US$6.6 billion,US$2.2 billion
473,https://www.grainger.com,NYSE,US$13.02 billion,US$1.54 billion,US$1.1 billion,US$6.6 billion,US$2.2 billion
474,https://teladochealth.com,NYSE,US$2.03 billion,US$−265.3 million,US$−428.8 million,US$17.73 billion,US$16.05 billion
475,https://www.trin.net/Trinity Industries,NYSE,US$4.4 billion,,US$375.5 million,,
476,http://gopro.com,Nasdaq,US$1.09 billion,US$38.96 million,US$28.85 million,US$1.08 billion,US$612 million
477,https://dlocal.com,Nasdaq,US$244 million,US$84 million,US$78 million,US$583 million,US$280 million
478,http://electroluxgroup.com,Nasdaq Stockholm,118.981 billion kr,3.189 billion kr,3.452 billion kr,106.808 billion kr,22.574 billion kr
480,https://www.voltas.com,NSE,₹7.940 crore,₹669.83 crore,₹504.09 crore,₹8.156 crore,₹4.247 crore
